id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,summary
1304047.0,2022.0,Mumbai,26/03/2022,League,UT Yadav,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,132.0,20.0,N,,AK Chaudhary,Nitin Menon,"Season: 2022.0, City: Mumbai, Date: 26/03/2022, Match Type: League, Player of the Match: UT Yadav, Venue: Wankhede Stadium, Mumbai, Team1: Chennai Super Kings, Team2: Kolkata Knight Riders, Toss Winner: Kolkata Knight Riders, Toss Decision: field, Winner: Kolkata Knight Riders, Result: wickets by 6.0 runs/wickets, Super Over: N, Umpires: AK Chaudhary and Nitin Menon."
1304048.0,2022.0,Mumbai,27/03/2022,League,Kuldeep Yadav,"Brabourne Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4.0,178.0,20.0,N,,RJ Tucker,HAS Khalid,"Season: 2022.0, City: Mumbai, Date: 27/03/2022, Match Type: League, Player of the Match: Kuldeep Yadav, Venue: Brabourne Stadium, Mumbai, Team1: Mumbai Indians, Team2: Delhi Capitals, Toss Winner: Delhi Capitals, Toss Decision: field, Winner: Delhi Capitals, Result: wickets by 4.0 runs/wickets, Super Over: N, Umpires: RJ Tucker and HAS Khalid."
1304049.0,2022.0,Mumbai,27/03/2022,League,OF Smith,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,5.0,206.0,20.0,N,,Nitin Menon,YC Barde,"Season: 2022.0, City: Mumbai, Date: 27/03/2022, Match Type: League, Player of the Match: OF Smith, Venue: Dr DY Patil Sports Academy, Mumbai, Team1: Royal Challengers Bangalore, Team2: Punjab Kings, Toss Winner: Punjab Kings, Toss Decision: field, Winner: Punjab Kings, Result: wickets by 5.0 runs/wickets, Super Over: N, Umpires: Nitin Menon and YC Barde."
1304050.0,2022.0,Mumbai,28/03/2022,League,Mohammed Shami,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,5.0,159.0,20.0,N,,PG Pathak,VK Sharma,"Season: 2022.0, City: Mumbai, Date: 28/03/2022, Match Type: League, Player of the Match: Mohammed Shami, Venue: Wankhede Stadium, Mumbai, Team1: Lucknow Super Giants, Team2: Gujarat Titans, Toss Winner: Gujarat Titans, Toss Decision: field, Winner: Gujarat Titans, Result: wickets by 5.0 runs/wickets, Super Over: N, Umpires: PG Pathak and VK Sharma."
1304051.0,2022.0,Pune,29/03/2022,League,SV Samson,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,runs,61.0,211.0,20.0,N,,BNJ Oxenford,UV Gandhe,"Season: 2022.0, City: Pune, Date: 29/03/2022, Match Type: League, Player of the Match: SV Samson, Venue: Maharashtra Cricket Association Stadium, Pune, Team1: Rajasthan Royals, Team2: Sunrisers Hyderabad, Toss Winner: Sunrisers Hyderabad, Toss Decision: field, Winner: Rajasthan Royals, Result: runs by 61.0 runs/wickets, Super Over: N, Umpires: BNJ Oxenford and UV Gandhe."
1304052.0,2022.0,Mumbai,30/03/2022,League,PWH de Silva,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,3.0,129.0,20.0,N,,J Madanagopal,Navdeep Singh,"Season: 2022.0, City: Mumbai, Date: 30/03/2022, Match Type: League, Player of the Match: PWH de Silva, Venue: Dr DY Patil Sports Academy, Mumbai, Team1: Kolkata Knight Riders, Team2: Royal Challengers Bangalore, Toss Winner: Royal Challengers Bangalore, Toss Decision: field, Winner: Royal Challengers Bangalore, Result: wickets by 3.0 runs/wickets, Super Over: N, Umpires: J Madanagopal and Navdeep Singh."
1304053.0,2022.0,Mumbai,31/03/2022,League,E Lewis,"Brabourne Stadium, Mumbai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6.0,211.0,20.0,N,,RJ Tucker,VK Sharma,"Season: 2022.0, City: Mumbai, Date: 31/03/2022, Match Type: League, Player of the Match: E Lewis, Venue: Brabourne Stadium, Mumbai, Team1: Chennai Super Kings, Team2: Lucknow Super Giants, Toss Winner: Lucknow Super Giants, Toss Decision: field, Winner: Lucknow Super Giants, Result: wickets by 6.0 runs/wickets, Super Over: N, Umpires: RJ Tucker and VK Sharma."
1304054.0,2022.0,Mumbai,01/04/2022,League,UT Yadav,"Wankhede Stadium, Mumbai",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6.0,138.0,20.0,N,,AK Chaudhary,HAS Khalid,"Season: 2022.0, City: Mumbai, Date: 01/04/2022, Match Type: League, Player of the Match: UT Yadav, Venue: Wankhede Stadium, Mumbai, Team1: Punjab Kings, Team2: Kolkata Knight Riders, Toss Winner: Kolkata Knight Riders, Toss Decision: field, Winner: Kolkata Knight Riders, Result: wickets by 6.0 runs/wickets, Super Over: N, Umpires: AK Chaudhary and HAS Khalid."
1304055.0,2022.0,Mumbai,02/04/2022,League,JC Buttler,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,runs,23.0,194.0,20.0,N,,Nitin Menon,PG Pathak,"Season: 2022.0, City: Mumbai, Date: 02/04/2022, Match Type: League, Player of the Match: JC Buttler, Venue: Dr DY Patil Sports Academy, Mumbai, Team1: Rajasthan Royals, Team2: Mumbai Indians, Toss Winner: Mumbai Indians, Toss Decision: field, Winner: Rajasthan Royals, Result: runs by 23.0 runs/wickets, Super Over: N, Umpires: Nitin Menon and PG Pathak."
1304056.0,2022.0,Pune,02/04/2022,League,LH Ferguson,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,runs,14.0,172.0,20.0,N,,KN Ananthapadmanabhan,UV Gandhe,"Season: 2022.0, City: Pune, Date: 02/04/2022, Match Type: League, Player of the Match: LH Ferguson, Venue: Maharashtra Cricket Association Stadium, Pune, Team1: Gujarat Titans, Team2: Delhi Capitals, Toss Winner: Delhi Capitals, Toss Decision: field, Winner: Gujarat Titans, Result: runs by 14.0 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and UV Gandhe."
1304057.0,2022.0,Mumbai,03/04/2022,League,LS Livingstone,"Brabourne Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,runs,54.0,181.0,20.0,N,,RJ Tucker,YC Barde,"Season: 2022.0, City: Mumbai, Date: 03/04/2022, Match Type: League, Player of the Match: LS Livingstone, Venue: Brabourne Stadium, Mumbai, Team1: Punjab Kings, Team2: Chennai Super Kings, Toss Winner: Chennai Super Kings, Toss Decision: field, Winner: Punjab Kings, Result: runs by 54.0 runs/wickets, Super Over: N, Umpires: RJ Tucker and YC Barde."
